stratum,time_diff,cif,lower,upper
18-34,0,0,,
18-34,1,0.000063412,0.000007220,0.000373783
18-34,4,0.000126823,0.000028337,0.000458029
18-34,22,0.000507292,0.000245592,0.000983575
35-49,0,0,,
35-49,1,0.000091366,0.000027429,0.000265151
35-49,4,0.000243642,0.000118292,0.000473671
35-49,5,0.000335008,0.000181441,0.000592131
35-49,7,0.000426377,0.000248025,0.000707517
35-49,9,0.000456834,0.000270793,0.000745452
35-49,10,0.000487291,0.000293803,0.000783162
35-49,11,0.000517749,0.000317032,0.000820667
35-49,12,0.000548206,0.000340462,0.000857981
35-49,13,0.000609120,0.000387865,0.000932098
35-49,22,0.001035547,0.000733903,0.001437367
50-64,0,0,,
50-64,1,0.000093223,0.000037180,0.000215156
50-64,2,0.000186445,0.000098051,0.000339016
50-64,3,0.000223735,0.000124618,0.000386672
50-64,4,0.000503408,0.000341989,0.000727268
50-64,5,0.000727147,0.000527677,0.000988461
50-64,6,0.000876311,0.000654633,0.001159526
50-64,7,0.000932248,0.000702729,0.001223199
50-64,8,0.001006833,0.000767213,0.001307755
50-64,9,0.001062773,0.000815817,0.001370938
50-64,10,0.001211952,0.000946320,0.001538562
50-64,11,0.001454373,0.001160679,0.001808713
50-64,12,0.001640850,0.001327126,0.002014993
50-64,13,0.001752740,0.001427540,0.002138232
50-64,22,0.002666583,0.002258800,0.003133784
65+,0,0,,
65+,1,0.000293787,0.000126738,0.000629429
65+,2,0.000734510,0.000434920,0.001197229
65+,3,0.000783479,0.000471902,0.001257849
65+,4,0.001909827,0.001384689,0.002593072
65+,5,0.003770843,0.003003696,0.004691938
65+,6,0.004015713,0.003221734,0.004963209
65+,7,0.004162643,0.003352955,0.005125595
65+,8,0.004407526,0.003572264,0.005395645
65+,9,0.004456502,0.003616212,0.005449570
65+,10,0.005044310,0.004145707,0.006094777
65+,11,0.005485188,0.004545065,0.006576531
65+,12,0.005828129,0.004856860,0.006950137
65+,13,0.005926112,0.004946115,0.007056713
65+,22,0.008230019,0.007062561,0.009545252
