stratum,time_diff,cif,lower,upper
18-34,16,0.000063869,0.000007271,0.000376432
18-34,17,0.000191608,0.000057154,0.000553005
18-34,18,0.000255477,0.000090274,0.000643685
18-34,21,0.000319346,0.000126516,0.000732643
18-34,22,0.000702561,0.000379658,0.001239050
35-49,15,0.000030838,0.000003567,0.000183990
35-49,16,0.000123350,0.000043805,0.000312156
35-49,17,0.000308375,0.000161942,0.000559963
35-49,18,0.000678438,0.000441365,0.001018197
35-49,19,0.000740115,0.000490570,0.001092089
35-49,20,0.000770953,0.000515363,0.001128853
35-49,22,0.001202705,0.000872389,0.001633999
50-64,14,0.000095236,0.000037979,0.000219784
50-64,15,0.000133332,0.000061588,0.000271424
50-64,16,0.000228572,0.000127306,0.000395013
50-64,17,0.001085731,0.000833430,0.001400528
50-64,18,0.001466698,0.001168774,0.001826563
50-64,19,0.001580988,0.001270565,0.001953208
50-64,20,0.001600037,0.001287575,0.001974272
50-64,21,0.001638133,0.001321630,0.002016364
50-64,22,0.002571521,0.002167607,0.003036213
65+,14,0.000256318,0.000101683,0.000588752
65+,15,0.000358877,0.000165111,0.000727879
65+,16,0.000717834,0.000417042,0.001189627
65+,17,0.001897261,0.001363538,0.002596597
65+,18,0.002769012,0.002108595,0.003592726
65+,19,0.002974152,0.002286953,0.003824182
65+,20,0.003076727,0.002376481,0.003939580
65+,21,0.003179302,0.002466225,0.004054768
65+,22,0.005589815,0.004619646,0.006718177
