stratum,time_diff,cif,lower,upper
Hispanic,0,0,,
Hispanic,2,0.000127871,0.000045400,0.000323532
Hispanic,4,0.000511503,0.000308370,0.000821991
Hispanic,5,0.000959073,0.000664431,0.001359119
Hispanic,6,0.001086951,0.000770293,0.001508619
Hispanic,7,0.001182858,0.000850514,0.001619945
Hispanic,8,0.001342710,0.000985552,0.001804202
Hispanic,9,0.001406651,0.001039978,0.001877505
Hispanic,10,0.001790332,0.001370577,0.002313457
Hispanic,11,0.001950204,0.001510020,0.002493460
Hispanic,12,0.002078106,0.001622170,0.002636887
Hispanic,13,0.002174036,0.001706599,0.002744154
Hispanic,22,0.002877680,0.002332638,0.003524341
NHB,0,0,,
NHB,1,0.000181339,0.000095372,0.000329754
NHB,2,0.000326411,0.000202900,0.000511331
NHB,3,0.000362679,0.000231132,0.000555465
NHB,4,0.000852307,0.000636713,0.001127792
NHB,5,0.001414481,0.001128857,0.001759138
NHB,6,0.001559564,0.001258264,0.001919719
NHB,7,0.001668378,0.001355793,0.002039693
NHB,8,0.001740924,0.001421018,0.002119479
NHB,9,0.001795334,0.001470037,0.002179222
NHB,10,0.001904156,0.001568315,0.002298474
NHB,11,0.002067389,0.001716282,0.002476811
NHB,12,0.002266896,0.001897927,0.002693994
NHB,13,0.002357581,0.001980754,0.002792456
NHB,22,0.003445924,0.002984565,0.003964488
NHW,0,0,,
NHW,1,0.000119002,0.000042271,0.000301211
NHW,2,0.000178506,0.000077190,0.000383274
NHW,3,0.000208258,0.000096036,0.000423294
NHW,4,0.000297515,0.000156255,0.000540296
NHW,5,0.000535532,0.000332605,0.000838184
NHW,6,0.000565284,0.000355675,0.000874463
NHW,10,0.000654546,0.000425846,0.000982401
NHW,11,0.000922340,0.000642935,0.001299930
NHW,12,0.000952096,0.000667530,0.001334755
NHW,13,0.001011607,0.000716954,0.001404180
NHW,22,0.001993638,0.001562189,0.002520936
Other,0,0,,
Other,2,0.000380518,0.000041102,0.002157280
Other,4,0.001141553,0.000333314,0.003235434
Other,12,0.001902588,0.000743175,0.004308542
Other,22,0.002283400,0.000971768,0.004829540
