stratum,time_diff,cif,lower,upper
Hispanic,14,0.000064765,0.000014590,0.000235491
Hispanic,16,0.000097151,0.000029152,0.000281821
Hispanic,17,0.000291471,0.000147640,0.000546019
Hispanic,18,0.000680122,0.000437874,0.001030234
Hispanic,19,0.000712511,0.000463496,0.001069244
Hispanic,21,0.000809680,0.000541214,0.001185465
Hispanic,22,0.001522254,0.001136703,0.002013090
NHB,14,0.000111503,0.000048314,0.000239849
NHB,15,0.000185842,0.000097734,0.000337921
NHB,16,0.000390272,0.000251480,0.000591715
NHB,17,0.001319502,0.001041517,0.001658114
NHB,18,0.001858466,0.001523263,0.002253646
NHB,19,0.002062904,0.001708222,0.002477354
NHB,20,0.002118660,0.001758835,0.002538198
NHB,22,0.003233799,0.002782575,0.003743796
NHW,14,0.000060929,0.000013736,0.000221671
NHW,15,0.000091395,0.000027438,0.000265234
NHW,16,0.000213257,0.000098331,0.000433416
NHW,17,0.000792102,0.000533751,0.001151441
NHW,18,0.001066291,0.000759513,0.001473184
NHW,20,0.001096757,0.000784997,0.001508547
NHW,22,0.002102150,0.001653161,0.002649096
Other,17,0.000387747,0.000041854,0.002197181
Other,21,0.001163242,0.000339549,0.003296113
Other,22,0.001550989,0.000538724,0.003848822
