stratum,time_diff,cif,lower,upper
Rural,0,0,,
Rural,2,0.000301386,0.000032825,0.001718885
Rural,4,0.000602773,0.000131353,0.002133341
Rural,5,0.000904159,0.000264898,0.002570031
Rural,6,0.001205637,0.000419995,0.002999691
Rural,10,0.001808594,0.000771191,0.003832642
Rural,11,0.002110072,0.000961082,0.004238124
Rural,12,0.002411550,0.001158046,0.004637709
Rural,22,0.002713028,0.001360896,0.005032230
Urban,0,0,,
Urban,1,0.000125681,0.000074678,0.000205570
Urban,2,0.000234607,0.000160650,0.000337034
Urban,3,0.000259744,0.000181292,0.000366601
Urban,4,0.000620044,0.000491996,0.000775948
Urban,5,0.001055759,0.000884709,0.001254294
Urban,6,0.001156310,0.000976690,0.001363346
Urban,7,0.001231724,0.001045918,0.001444898
Urban,8,0.001307140,0.001115335,0.001526267
Urban,9,0.001349038,0.001153974,0.001571399
Urban,10,0.001508258,0.001301251,0.001742473
Urban,11,0.001692621,0.001472547,0.001939806
Urban,12,0.001835086,0.001605397,0.002091816
Urban,13,0.001918890,0.001683720,0.002181063
Urban,22,0.002882780,0.002591600,0.003200577
