stratum,time_diff,cif,lower,upper
Female,0,0,,
Female,1,0.000189958,0.000082119,0.000407757
Female,2,0.000221617,0.000102171,0.000450344
Female,3,0.000284936,0.000144341,0.000533816
Female,4,0.000728171,0.000478294,0.001083268
Female,5,0.001234724,0.000895592,0.001677446
Female,6,0.001393027,0.001029915,0.001859342
Female,7,0.001551335,0.001165553,0.002039967
Female,8,0.001646323,0.001247486,0.002147812
Female,10,0.001804652,0.001384856,0.002326787
Female,11,0.001836319,0.001412442,0.002362475
Female,12,0.002057993,0.001606478,0.002611390
Female,13,0.002248005,0.001773958,0.002823618
Female,22,0.003293142,0.002709351,0.003977024
Male,0,0,,
Male,1,0.000098811,0.000050211,0.000185657
Male,2,0.000241545,0.000157367,0.000363059
Male,3,0.000252524,0.000166106,0.000376238
Male,4,0.000581916,0.000442420,0.000757987
Male,5,0.000988170,0.000801308,0.001211121
Male,6,0.001076010,0.000880281,0.001307743
Male,7,0.001119930,0.000919904,0.001355922
Male,8,0.001185812,0.000979493,0.001428039
Male,9,0.001240714,0.001029283,0.001488007
Male,10,0.001416405,0.001189332,0.001679202
Male,11,0.001657983,0.001410908,0.001940611
Male,12,0.001778773,0.001522246,0.002070775
Male,13,0.001822698,0.001562812,0.002118029
Male,22,0.002734280,0.002412147,0.003091363
