stratum,time_diff,cif,lower,upper
Female,14,0.000097226,0.000029174,0.000282035
Female,15,0.000162045,0.000064450,0.000373071
Female,16,0.000324093,0.000170171,0.000588419
Female,17,0.001004696,0.000700273,0.001415832
Female,18,0.001620480,0.001221044,0.002125056
Female,19,0.001750118,0.001333121,0.002271988
Female,20,0.001847347,0.001417599,0.002381777
Female,21,0.001879757,0.001445833,0.002418301
Female,22,0.002949276,0.002393472,0.003607985
Male,14,0.000078440,0.000036298,0.000159945
Male,15,0.000112060,0.000059008,0.000204008
Male,16,0.000235333,0.000151747,0.000357055
Male,17,0.000851697,0.000677826,0.001062547
Male,18,0.001199110,0.000989579,0.001445280
Male,19,0.001288767,0.001070906,0.001543191
Male,20,0.001299974,0.001081093,0.001555410
Male,21,0.001344804,0.001121883,0.001604243
Male,22,0.002275026,0.001979852,0.002606110
