stratum,time_diff,cif,lower,upper
High SVI,0,0,,
High SVI,1,0.000144097,0.000080338,0.000249268
High SVI,2,0.000312213,0.000210622,0.000454411
High SVI,3,0.000348238,0.000239978,0.000497000
High SVI,4,0.000816571,0.000641312,0.001031504
High SVI,5,0.001260893,0.001038631,0.001522362
High SVI,6,0.001392992,0.001158428,0.001666649
High SVI,7,0.001489066,0.001245917,0.001771230
High SVI,8,0.001549115,0.001300740,0.001836458
High SVI,9,0.001597154,0.001344671,0.001888569
High SVI,10,0.001705250,0.001443741,0.002005610
High SVI,11,0.001957475,0.001675962,0.002277667
High SVI,12,0.002101608,0.001809241,0.002432561
High SVI,13,0.002185687,0.001887161,0.002522748
High SVI,22,0.003182775,0.002818712,0.003584841
Low SVI,0,0,,
Low SVI,1,0.000165618,0.000036872,0.000596365
Low SVI,4,0.000248434,0.000073916,0.000715466
Low SVI,5,0.000496881,0.000213745,0.001061787
Low SVI,7,0.000579697,0.000266093,0.001173222
Low SVI,8,0.000745328,0.000376226,0.001391573
Low SVI,10,0.000828144,0.000433448,0.001498882
Low SVI,11,0.000993775,0.000551258,0.001710490
Low SVI,12,0.001242223,0.000734569,0.002021877
Low SVI,22,0.002153427,0.001448920,0.003124530
Medium SVI,1,0.000036610,0.000004219,0.000217833
Medium SVI,4,0.000183055,0.000072758,0.000421193
Medium SVI,5,0.000659001,0.000409130,0.001031008
Medium SVI,6,0.000732224,0.000466105,0.001120093
Medium SVI,8,0.000805446,0.000523849,0.001208448
Medium SVI,9,0.000842058,0.000552977,0.001252381
Medium SVI,10,0.001244782,0.000882015,0.001727356
Medium SVI,12,0.001354620,0.000973885,0.001854843
Medium SVI,13,0.001464457,0.001066459,0.001981647
Medium SVI,22,0.002269996,0.001761197,0.002896220
