stratum,time_diff,cif,lower,upper
High SVI,0,0,,
High SVI,14,0.000098223,0.000047830,0.000191481
High SVI,15,0.000147338,0.000082141,0.000254863
High SVI,16,0.000306961,0.000205436,0.000450029
High SVI,17,0.001006846,0.000808206,0.001245828
High SVI,18,0.001510284,0.001262740,0.001797704
High SVI,19,0.001645354,0.001386145,0.001944334
High SVI,20,0.001669913,0.001408635,0.001970942
High SVI,21,0.001719030,0.001453660,0.002024115
High SVI,22,0.002738223,0.002398331,0.003117196
Low SVI,0,0,,
Low SVI,14,0.000084402,0.000009543,0.000494891
Low SVI,16,0.000168826,0.000037576,0.000607784
Low SVI,17,0.000506522,0.000217868,0.001082278
Low SVI,18,0.000675369,0.000326549,0.001307868
Low SVI,22,0.001604031,0.001007184,0.002475638
Medium SVI,14,0.000037312,0.000004299,0.000221942
Medium SVI,15,0.000074624,0.000016784,0.000270975
Medium SVI,16,0.000149248,0.000052937,0.000377286
Medium SVI,17,0.000708929,0.000445874,0.001096198
Medium SVI,18,0.000970113,0.000653521,0.001409753
Medium SVI,19,0.001007426,0.000683791,0.001453969
Medium SVI,20,0.001082056,0.000744706,0.001542046
Medium SVI,21,0.001119371,0.000775337,0.001585917
Medium SVI,22,0.001940298,0.001470073,0.002530866
