stratum,time_diff,cif,lower,upper
IDU,0,0,,
IDU,1,0.000269930,0.000080244,0.000776815
IDU,2,0.000449883,0.000177834,0.001030047
IDU,4,0.000899766,0.000470786,0.001627992
IDU,5,0.001439626,0.000865833,0.002307513
IDU,6,0.001529603,0.000934404,0.002418241
IDU,7,0.001619588,0.001003579,0.002528419
IDU,8,0.001709581,0.001073310,0.002638090
IDU,9,0.001799574,0.001143551,0.002747279
IDU,11,0.002339533,0.001573930,0.003393916
IDU,12,0.002699506,0.001867650,0.003818499
IDU,13,0.002789499,0.001941772,0.003923980
IDU,22,0.004409837,0.003310596,0.005790117
MSM,0,0,,
MSM,1,0.000087800,0.000035027,0.000202692
MSM,2,0.000228287,0.000130198,0.000386410
MSM,3,0.000245848,0.000143179,0.000408426
MSM,4,0.000421459,0.000279570,0.000622409
MSM,5,0.000597070,0.000423384,0.000829295
MSM,6,0.000684875,0.000497027,0.000931055
MSM,7,0.000702437,0.000511865,0.000951301
MSM,8,0.000755121,0.000556574,0.001011850
MSM,9,0.000790244,0.000586532,0.001052067
MSM,10,0.000948305,0.000722641,0.001231796
MSM,11,0.001106369,0.000860499,0.001409818
MSM,12,0.001211745,0.000953193,0.001527726
MSM,13,0.001281996,0.001015291,0.001606035
MSM,22,0.001949461,0.001614307,0.002341201
Heterosexual,0,0,,
Heterosexual,1,0.000104343,0.000037094,0.000264297
Heterosexual,2,0.000208689,0.000101377,0.000405924
Heterosexual,3,0.000260862,0.000137058,0.000473909
Heterosexual,4,0.000886955,0.000628695,0.001231361
Heterosexual,5,0.001513064,0.001163942,0.001946972
Heterosexual,6,0.001695689,0.001323799,0.002152056
Heterosexual,7,0.001878319,0.001484849,0.002355979
Heterosexual,8,0.002008772,0.001600521,0.002501021
Heterosexual,9,0.002060954,0.001646926,0.002558908
Heterosexual,10,0.002295776,0.001856607,0.002818552
Heterosexual,11,0.002426236,0.001973653,0.002962259
Heterosexual,12,0.002634984,0.002161666,0.003191486
Heterosexual,13,0.002765458,0.002279595,0.003334353
Heterosexual,22,0.003939851,0.003352296,0.004609240
Other,0,0,,
Other,1,0.000184366,0.000055014,0.000532269
Other,4,0.000491642,0.000238047,0.000953352
Other,5,0.001290561,0.000829950,0.001952422
Other,10,0.001474949,0.000976596,0.002173643
Other,11,0.001659338,0.001125479,0.002392722
Other,22,0.002581456,0.001893677,0.003465559
