stratum,time_diff,cif,lower,upper
IDU,14,0.000093888,0.000010587,0.000549383
IDU,15,0.000187793,0.000041734,0.000675230
IDU,16,0.000281699,0.000083706,0.000810381
IDU,17,0.001220755,0.000693207,0.002057190
IDU,18,0.001502472,0.000903530,0.002407937
IDU,20,0.001596386,0.000975098,0.002523510
IDU,22,0.003286848,0.002338268,0.004532656
MSM,14,0.000071305,0.000025405,0.000180967
MSM,15,0.000106959,0.000046352,0.000230108
MSM,16,0.000231747,0.000132168,0.000392255
MSM,17,0.000659593,0.000474528,0.000903932
MSM,18,0.000873523,0.000656567,0.001149316
MSM,19,0.000944833,0.000718126,0.001230251
MSM,21,0.000998317,0.000764533,0.001290721
MSM,22,0.001675788,0.001364886,0.002044416
Heterosexual,14,0.000133761,0.000053254,0.000308230
Heterosexual,15,0.000187267,0.000086392,0.000380776
Heterosexual,16,0.000401291,0.000237935,0.000654999
Heterosexual,17,0.001257387,0.000939058,0.001663169
Heterosexual,18,0.002033224,0.001617540,0.002535014
Heterosexual,19,0.002247253,0.001808163,0.002772148
Heterosexual,20,0.002327515,0.001879936,0.002860789
Heterosexual,21,0.002381023,0.001927867,0.002919806
Heterosexual,22,0.003584973,0.003019755,0.004234448
Other,17,0.000626370,0.000328176,0.001134842
Other,18,0.001002193,0.000603291,0.001607993
Other,22,0.001941748,0.001352301,0.002733429
