stratum,time_diff,cif,lower,upper
Non-US born,0,0,,
Non-US born,2,0.000206042,0.000095018,0.000418806
Non-US born,4,0.000529847,0.000329081,0.000829303
Non-US born,5,0.000971414,0.000684854,0.001354964
Non-US born,6,0.001089168,0.000783211,0.001491790
Non-US born,7,0.001236366,0.000907560,0.001661469
Non-US born,8,0.001354127,0.001007993,0.001796290
Non-US born,9,0.001383568,0.001033219,0.001829882
Non-US born,10,0.001589663,0.001210974,0.002063896
Non-US born,11,0.001795764,0.001390505,0.002296187
Non-US born,12,0.001854652,0.001442083,0.002362282
Non-US born,13,0.001913541,0.001493776,0.002428267
Non-US born,22,0.002384812,0.001911022,0.002952837
Unknown,0,0,,
Unknown,4,0.000298063,0.000032476,0.001700398
Unknown,8,0.000596125,0.000129933,0.002110180
Unknown,22,0.000894188,0.000262017,0.002542028
US born,0,0,,
US born,1,0.000164052,0.000095616,0.000272746
US born,2,0.000257798,0.000167942,0.000387457
US born,3,0.000292953,0.000196072,0.000429516
US born,4,0.000667937,0.000512866,0.000861918
US born,5,0.001113231,0.000907819,0.001357036
US born,6,0.001218696,0.001002936,0.001472752
US born,7,0.001265570,0.001045355,0.001524040
US born,8,0.001312445,0.001087856,0.001575249
US born,9,0.001359321,0.001130434,0.001626382
US born,10,0.001523392,0.001280019,0.001804809
US born,11,0.001710904,0.001451900,0.002007815
US born,12,0.001898418,0.001624619,0.002209998
US born,13,0.001992176,0.001711254,0.002310819
US born,22,0.003152519,0.002794475,0.003547657
