stratum,time_diff,cif,lower,upper
Non-US born,14,0.000089379,0.000026837,0.000259423
Non-US born,15,0.000119177,0.000042332,0.000301653
Non-US born,16,0.000268168,0.000135874,0.000502496
Non-US born,17,0.000595949,0.000379492,0.000911979
Non-US born,18,0.001102535,0.000792814,0.001510075
Non-US born,19,0.001251535,0.000918686,0.001681831
Non-US born,20,0.001311137,0.000969419,0.001750162
Non-US born,21,0.001400543,0.001045886,0.001852308
Non-US born,22,0.001877387,0.001459750,0.002391211
Unknown,0,0,,
Unknown,17,0.000302480,0.000032941,0.001724967
Unknown,21,0.000604961,0.000131821,0.002140963
Unknown,22,0.000907441,0.000265846,0.002579247
US born,14,0.000084109,0.000038913,0.000171469
US born,15,0.000132173,0.000071752,0.000234136
US born,16,0.000264348,0.000172204,0.000397288
US born,17,0.001033366,0.000833854,0.001272330
US born,18,0.001429896,0.001191933,0.001706945
US born,19,0.001514009,0.001268608,0.001798430
US born,20,0.001538042,0.001290553,0.001824531
US born,21,0.001550058,0.001301531,0.001837575
US born,22,0.002739662,0.002403139,0.003114428
