stratum,time_diff,cif,lower,upper
Not suppressed,0,0,,
Not suppressed,1,0.000142207,0.000061555,0.000305613
Not suppressed,2,0.000260724,0.000141304,0.000461133
Not suppressed,3,0.000308131,0.000175620,0.000521223
Not suppressed,4,0.000616291,0.000415419,0.000896204
Not suppressed,5,0.000924458,0.000670721,0.001256358
Not suppressed,6,0.001019283,0.000751100,0.001365413
Not suppressed,7,0.001114110,0.000832130,0.001473838
Not suppressed,9,0.001137818,0.000852480,0.001500856
Not suppressed,10,0.001208949,0.000913738,0.001581722
Not suppressed,11,0.001398632,0.001078416,0.001796070
Not suppressed,12,0.001469762,0.001140609,0.001876021
Not suppressed,13,0.001517184,0.001182190,0.001929207
Not suppressed,22,0.002726825,0.002265437,0.003263714
Suppressed,0,0,,
Suppressed,1,0.000111833,0.000056809,0.000210060
Suppressed,2,0.000223666,0.000139116,0.000350588
Suppressed,3,0.000236092,0.000148756,0.000365743
Suppressed,4,0.000621296,0.000468458,0.000815473
Suppressed,5,0.001118332,0.000906817,0.001370557
Suppressed,6,0.001230165,0.001007391,0.001493539
Suppressed,7,0.001292295,0.001063487,0.001561646
Suppressed,8,0.001404131,0.001164813,0.001683893
Suppressed,9,0.001453837,0.001209982,0.001738093
Suppressed,10,0.001677515,0.001414144,0.001981108
Suppressed,11,0.001863917,0.001585258,0.002182664
Suppressed,12,0.002050325,0.001757124,0.002383486
Suppressed,13,0.002149743,0.001849058,0.002490325
Suppressed,22,0.002957560,0.002601568,0.003352985
