stratum,time_diff,cif,lower,upper
Not suppressed,14,0.000150909,0.000065305,0.000324239
Not suppressed,15,0.000226379,0.000114762,0.000424406
Not suppressed,16,0.000377319,0.000223749,0.000615949
Not suppressed,17,0.000930764,0.000669405,0.001275072
Not suppressed,18,0.001509381,0.001166342,0.001934182
Not suppressed,19,0.001710644,0.001343004,0.002159719
Not suppressed,20,0.001786120,0.001409627,0.002243931
Not suppressed,21,0.001861597,0.001476437,0.002327965
Not suppressed,22,0.003245352,0.002724599,0.003845665
Suppressed,14,0.000049790,0.000017774,0.000126580
Suppressed,15,0.000074685,0.000032411,0.000160879
Suppressed,16,0.000199161,0.000120278,0.000320615
Suppressed,17,0.000871330,0.000686719,0.001096997
Suppressed,18,0.001207418,0.000986715,0.001468813
Suppressed,19,0.001257209,0.001031610,0.001523454
Suppressed,20,0.001269657,0.001042849,0.001537100
Suppressed,21,0.001294553,0.001065344,0.001564373
Suppressed,22,0.002053883,0.001760173,0.002387620
